
####################################################################
# 			       TL-WR841N  System Log 
# Time = 2024-01-31 21:21:13 61929s
# H-Ver = WR841N v8 00000000 : S-Ver = 3.13.27 Build 121101 Rel.38183n 
# L = 172.16.0.1 : M = 255.255.255.0
# W1 = DHCP : W = 100.126.13.71 : M = 255.255.0.0 : G = 100.126.0.1
####################################################################

Jan 31 19:14:41	 DHCP      	INFO   	DHCPC Send REQUEST to server 647e0001 with request ip 647e0d47
Jan 31 19:14:42	 DHCP      	INFO   	DHCPC Recv ACK from server 647e0001 with ip 647e0d47 lease time 600
Jan 31 19:14:42	 DHCP      	INFO   	DHCPC:GET ip:647e0d47 mask:ffff0000 gateway:647e0001 dns1:c2e29075 dns2:c33a017a static route:0
Jan 31 19:14:42	 DHCP      	INFO   	dhcpc_ipc_data_rcv_router 693 : current network type = 0  
Jan 31 19:14:42	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jan 31 19:19:42	 DHCP      	INFO   	DHCPC Send REQUEST to server 647e0001 with request ip 647e0d47
Jan 31 19:19:43	 DHCP      	INFO   	DHCPC Recv ACK from server 647e0001 with ip 647e0d47 lease time 600
Jan 31 19:19:43	 DHCP      	INFO   	DHCPC:GET ip:647e0d47 mask:ffff0000 gateway:647e0001 dns1:c2e29075 dns2:c33a017a static route:0
Jan 31 19:19:43	 DHCP      	INFO   	dhcpc_ipc_data_rcv_router 693 : current network type = 0  
Jan 31 19:19:43	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jan 31 19:23:01	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 10:63:C8:BE:6C:5F
Jan 31 19:23:02	 DHCP      	INFO   	DHCPS:Send OFFER with ip 172.16.0.105
Jan 31 19:23:02	 DHCP      	INFO   	DHCPS:Recv REQUEST from 10:63:C8:BE:6C:5F
Jan 31 19:23:02	 DHCP      	INFO   	DHCPS:Send ACK to 172.16.0.105
Jan 31 19:24:42	 DHCP      	INFO   	DHCPC Send REQUEST to server 647e0001 with request ip 647e0d47
Jan 31 19:24:43	 DHCP      	INFO   	DHCPC Recv ACK from server 647e0001 with ip 647e0d47 lease time 600
Jan 31 19:24:43	 DHCP      	INFO   	DHCPC:GET ip:647e0d47 mask:ffff0000 gateway:647e0001 dns1:c2e29075 dns2:c33a017a static route:0
Jan 31 19:24:43	 DHCP      	INFO   	dhcpc_ipc_data_rcv_router 693 : current network type = 0  
Jan 31 19:24:43	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jan 31 19:24:46	 DHCP      	INFO   	DHCPS:Recv REQUEST from 70:3A:51:3C:B3:28
Jan 31 19:24:46	 DHCP      	INFO   	DHCPS:Send ACK to 172.16.0.100
Jan 31 19:29:42	 DHCP      	INFO   	DHCPC Send REQUEST to server 647e0001 with request ip 647e0d47
Jan 31 19:29:44	 DHCP      	INFO   	DHCPC Recv ACK from server 647e0001 with ip 647e0d47 lease time 600
Jan 31 19:29:44	 DHCP      	INFO   	DHCPC:GET ip:647e0d47 mask:ffff0000 gateway:647e0001 dns1:c2e29075 dns2:c33a017a static route:0
Jan 31 19:29:44	 DHCP      	INFO   	dhcpc_ipc_data_rcv_router 693 : current network type = 0  
Jan 31 19:29:44	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jan 31 19:34:42	 DHCP      	INFO   	DHCPC Send REQUEST to server 647e0001 with request ip 647e0d47
Jan 31 19:34:43	 DHCP      	INFO   	DHCPC Recv ACK from server 647e0001 with ip 647e0d47 lease time 600
Jan 31 19:34:43	 DHCP      	INFO   	DHCPC:GET ip:647e0d47 mask:ffff0000 gateway:647e0001 dns1:c2e29075 dns2:c33a017a static route:0
Jan 31 19:34:43	 DHCP      	INFO   	dhcpc_ipc_data_rcv_router 693 : current network type = 0  
Jan 31 19:34:43	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
Jan 31 19:39:42	 DHCP      	INFO   	DHCPC Send REQUEST to server 647e0001 with request ip 647e0d47
Jan 31 19:39:43	 DHCP      	INFO   	DHCPC Recv ACK from server 647e0001 with ip 647e0d47 lease time 600
Jan 31 19:39:43	 DHCP      	INFO   	DHCPC:GET ip:647e0d47 mask:ffff0000 gateway:647e0001 dns1:c2e29075 dns2:c33a017a static route:0
